read_name,mapping_cov,cigar,mapping_quality
ERR257715.25708733/2,2.47,101M,48
ERR257715.15498832/1,2.21,101M,60
ERR257715.2202073/1,2.53,101M,60
ERR257715.3050381/1,3.25,101M,60
ERR257715.30830727/2,3.36,101M,60
ERR257715.25708733/1,3.32,101M,13
ERR257715.2562388/2,1.32,81M20S,60
ERR257715.30830727/1,1.63,101M,60
ERR257715.3050381/2,1.63,101M,60
ERR257715.23311814/2,1.00,101M,60
ERR257715.29683522/2,2.18,101M,60
ERR257715.11694867/1,2.50,101M,60
ERR257715.23311814/1,2.31,101M,60
ERR257715.17048801/2,1.51,14S87M,60
ERR257715.29683522/1,1.44,101M,60
ERR257715.2612258/1,1.00,101M,60
ERR257715.2612258/2,1.51,101M,50
ERR257715.22547758/2,1.51,101M,6
ERR257715.32724521/2,1.56,101M,31
ERR257715.6008952/2,2.65,101M,60
ERR257715.23440168/1,2.97,101M,60
ERR257715.8981367/2,2.97,101M,60
ERR257715.15908817/1,2.06,101M,54
ERR257715.23440168/2,1.12,101M,60
ERR257715.20050438/2,1.50,55H46M,18
ERR257715.15908817/2,1.23,101M,51
ERR257715.24681849/1,1.59,101M,60
ERR257715.25500648/1,1.59,101M,24
ERR257715.20301735/2,1.11,101M,46
ERR257715.24681849/2,2.25,101M,11
ERR257715.25500648/2,2.64,101M,11
ERR257715.17071810/1,2.64,101M,60
ERR257715.20301735/1,1.25,101M,17
ERR257715.17048801/1,2.44,101M,60
ERR257715.20050438/2,2.75,41S60M,26
ERR257715.17071810/2,2.45,101M,60
ERR257715.2229221/2,1.63,101M,60
ERR257715.20050438/1,1.48,101M,60
ERR257715.2229221/1,1.70,101M,60
ERR257715.23205681/1,2.00,30S71M,23
ERR257715.32250798/2,1.00,101M,16
ERR257715.5443253/1,1.46,101M,44
ERR257715.32250798/1,1.46,101M,60
ERR257715.30022033/2,1.85,101M,2
ERR257715.5443253/2,1.85,101M,31
ERR257715.7265208/2,1.20,101M,40
ERR257715.30022033/1,1.89,101M,60
ERR257715.7667919/1,2.43,101M,60
ERR257715.32420289/2,2.43,101M,60
ERR257715.7265208/1,1.30,101M,60
ERR257715.32420289/1,1.80,101M,2
ERR257715.7667919/2,2.05,101M,60
ERR257715.23202665/1,1.71,32S63M6S,49
ERR257715.19958080/1,1.10,101M,60
ERR257715.23202665/2,1.10,101M,60
ERR257715.19958080/2,1.50,101M,25
ERR257715.13961705/2,1.67,101M,60
ERR257715.8674633/1,1.17,101M,60
ERR257715.13961705/1,1.21,101M,54
ERR257715.8674633/2,1.94,101M,60
ERR257715.26150420/2,1.73,101M,60
ERR257715.4841274/1,1.21,101M,60
ERR257715.14969321/2,2.34,3S98M,60
ERR257715.26150420/1,3.22,101M,50
ERR257715.31822838/2,3.34,101M,34
ERR257715.19778608/2,3.31,101M,60
ERR257715.24053354/2,3.73,101M,18
ERR257715.4841274/2,3.91,101M,60
ERR257715.12459173/1,3.98,101M,51
ERR257715.13231977/1,3.87,101M,60
ERR257715.14969321/1,3.43,101M,60
ERR257715.13342619/1,2.35,101M,60
ERR257715.13342619/2,2.32,101M,53
ERR257715.6739847/1,3.36,101M,5
ERR257715.31449798/1,3.36,101M,60
ERR257715.29647073/2,3.50,101M,60
ERR257715.5190943/2,2.55,101M,41
ERR257715.1691341/2,2.12,17S84M,40
ERR257715.2612694/1,2.42,101M,60
ERR257715.19721856/2,3.26,101M,60
ERR257715.14386822/1,3.49,89M12S,60
ERR257715.4500049/2,3.21,101M,60
ERR257715.14386822/2,3.06,101M,60
